ds,y
2025-04-24,6
2025-04-25,9
2025-04-26,36
2025-04-27,34
2025-04-28,15
2025-04-29,44
2025-04-30,15
2025-05-01,14
2025-05-02,13
2025-05-03,5
2025-05-04,11
2025-05-05,11
2025-05-06,10
2025-05-07,15
2025-05-08,11
2025-05-09,7
2025-05-10,6
2025-05-11,6
2025-05-12,13
2025-05-13,13
2025-05-14,6
2025-05-15,6
2025-05-16,6
2025-05-17,6
2025-05-18,9
2025-05-19,10
2025-05-20,11
2025-05-21,6
2025-05-22,5
2025-05-23,9
2025-05-24,14
2025-05-25,8
2025-05-26,5
2025-05-27,11
2025-05-28,6
2025-05-29,6
2025-05-30,10
2025-05-31,13
2025-06-01,6
2025-06-02,9
2025-06-03,8
2025-06-04,13
2025-06-05,13
2025-06-06,6
2025-06-07,10
2025-06-08,47
2025-06-09,6
2025-06-10,7
2025-06-11,7
2025-06-12,14
2025-06-13,14
2025-06-14,7
2025-06-15,10
2025-06-16,12
2025-06-17,15
2025-06-18,9
2025-06-19,9
2025-06-20,9
2025-06-21,15
2025-06-22,6
